path,type,size_estimate,matched_run_id,notes
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp943_R5A_sq_q050_t003_l050_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp943)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp944_R5B_sh_L2_l002_logd_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp944)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp945_R5B_sh_L2_l005_logd_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp945)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp946_R5B_sh_L2_l010_logd_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp946)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp947_R5B_sh_L3_l002_logd_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp947)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp948_R5B_sh_L3_l005_logd_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp948)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp949_R5B_sh_L2_l002_lin_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp949)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp950_R5C_combo_q050_sh002_bs48_r3,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp950)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp951_R5C_combo_q050_sh005_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp951)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp952_R5C_combo_q045_sh002_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp952)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp953_R5C_combo_q055_sh002_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp953)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp954_R5D_cyl_horiz_base_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp954)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp955_R5D_cyl_horiz_sq_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp955)
